'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-10-06',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-10-07',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-10-08',0.0,0.25,0.038571428571428576503,0.27000000000000001776,0.0,0.0,0.0,0.0
'2013-10-09',0.0,0.25,0.038571428571428576503,0.27000000000000001776,0.0,0.0,0.0,0.0
'2013-10-10',0.0,0.25,0.038571428571428576503,0.27000000000000001776,0.0,0.0,0.0,0.0
'2013-10-11',0.0,0.02,0.0028571428571428567622,0.02,0.0,0.0,0.0,0.0
'2013-10-12',0.0,0.02,0.0028571428571428567622,0.02,0.0,0.0,0.0,0.0
'2013-10-13',0.0,0.02,0.0028571428571428567622,0.02,0.0,0.0,0.0,0.0
'2013-10-14',0.0,0.02,0.0057142857142857135244,0.04,0.0,0.0,0.0,0.0
'2013-10-15',0.0,0.02,0.0028571428571428567622,0.02,0.0,0.0,0.0,0.0
'2013-10-16',0.0,0.02,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-10-17',0.0,0.02,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-10-18',0.0,0.02,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-10-19',0.0,0.02,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-10-20',0.0,0.02,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-10-21',0.0,0.01,0.0014285714285714283811,0.01,0.0,0.0,0.0,0.0
'2013-10-22',0.0,0.01,0.0014285714285714283811,0.01,0.0,0.0,0.0,0.0
'2013-10-23',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-24',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-25',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-26',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-27',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-10-28',0.0,0.06,0.0085714285714285729511,0.06,0.0,0.0,0.0,0.0
'2013-10-29',0.0,0.13000000000000000444,0.027142857142857139685,0.19,0.0,0.0,0.0,0.0
'2013-10-30',0.0,0.13000000000000000444,0.027142857142857139685,0.19,0.0,0.0,0.0,0.0
'2013-10-31',0.0,0.13000000000000000444,0.027142857142857139685,0.19,0.0,0.0,0.0,0.0
'2013-11-01',0.0,0.13000000000000000444,0.027142857142857139685,0.19,0.0,0.0,0.0,0.0
'2013-11-02',0.0,0.13000000000000000444,0.027142857142857139685,0.19,0.0,0.0,0.0,0.0
'2013-11-03',0.0,0.13000000000000000444,0.027142857142857139685,0.19,0.0,0.0,0.0,0.0
'2013-11-04',0.0,0.13000000000000000444,0.037142857142857144125,0.26000000000000000888,0.0,0.0,0.0,0.0
'2013-11-05',0.0,0.13000000000000000444,0.018571428571428572951,0.13000000000000000444,0.0,0.0,0.0,0.0
'2013-11-06',0.0,0.13000000000000000444,0.018571428571428572951,0.13000000000000000444,0.0,0.0,0.0,0.0
'2013-11-07',0.0,0.13000000000000000444,0.018571428571428572951,0.13000000000000000444,0.0,0.0,0.0,0.0
'2013-11-08',0.0,0.13000000000000000444,0.018571428571428572951,0.13000000000000000444,0.0,0.0,0.0,0.0
'2013-11-09',0.0,0.13000000000000000444,0.022857142857142855874,0.16000000000000000888,0.0,0.0,0.0,0.0
'2013-11-10',0.0,0.13000000000000000444,0.022857142857142855874,0.16000000000000000888,0.0,0.0,0.0,0.0
'2013-11-11',0.0,0.03,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-11-12',0.0,0.03,0.0042857142857142864755,0.03,0.0,0.0,0.0,0.0
'2013-11-13',0.0,0.05,0.011428571428571427937,0.08,0.0,0.0,0.0,0.0
'2013-11-14',0.0,0.05,0.015714285714285713524,0.11000000000000000888,0.0,0.0,0.0,0.0
'2013-11-15',0.0,0.22000000000000001776,0.047142857142857144125,0.33000000000000002664,0.0,0.0,0.0,0.0
'2013-11-16',0.0,0.22000000000000001776,0.042857142857142864755,0.3,0.0,0.0,0.0,0.0
'2013-11-17',0.0,0.22000000000000001776,0.042857142857142864755,0.3,0.0,0.0,0.0,0.0
'2013-11-18',0.0,0.22000000000000001776,0.042857142857142864755,0.3,0.0,0.0,0.0,0.0
'2013-11-19',0.0,0.22000000000000001776,0.052857142857142855874,0.37000000000000001776,0.0,0.0,0.0,0.0
'2013-11-20',0.0,0.22000000000000001776,0.045714285714285711748,0.32000000000000001776,0.0,0.0,0.0,0.0
'2013-11-21',0.0,0.22000000000000001776,0.041428571428571432377,0.29000000000000003552,0.0,0.0,0.0,0.0
'2013-11-22',0.0,0.070000000000000008881,0.01,0.070000000000000008881,0.0,0.0,0.0,0.0
'2013-11-23',0.0,0.50999999999999996447,0.082857142857142864755,0.58000000000000007105,0.0,0.0,0.0,0.0
'2013-11-24',0.0,1.980000000000000071,0.36571428571428570286,2.5600000000000000532,0.0,0.0,0.0,0.0
'2013-11-25',0.0,1.980000000000000071,0.36571428571428570286,2.5600000000000000532,0.0,0.0,0.0,0.0
'2013-11-26',0.0,1.980000000000000071,0.3557142857142857828,2.4900000000000002131,0.0,0.0,0.0,0.0
'2013-11-27',0.0,1.980000000000000071,0.3557142857142857828,2.4900000000000002131,0.0,0.0,0.0,0.0
